draw_date,n1,n2,n3,n4,n5,pb
2006-05-31,49.0,22.0,20.0,43.0,10.0,3.0
2006-06-03,20.0,5.0,18.0,50.0,6.0,35.0
2006-06-07,20.0,10.0,4.0,26.0,40.0,8.0
2006-06-10,36.0,54.0,24.0,26.0,16.0,11.0
2006-06-14,4.0,40.0,14.0,48.0,15.0,12.0
2006-06-17,39.0,48.0,20.0,22.0,10.0,25.0
2006-06-21,11.0,19.0,22.0,43.0,45.0,34.0
2006-06-24,39.0,8.0,47.0,11.0,30.0,23.0
2006-06-28,45.0,51.0,8.0,16.0,2.0,32.0
2006-07-01,40.0,35.0,42.0,2.0,31.0,34.0
2006-07-05,26.0,52.0,39.0,41.0,53.0,20.0
2006-07-08,50.0,44.0,49.0,32.0,37.0,13.0
2006-07-12,31.0,33.0,30.0,18.0,19.0,15.0
2006-07-15,36.0,20.0,47.0,50.0,35.0,5.0
2006-07-19,44.0,50.0,2.0,38.0,32.0,21.0
2006-07-22,40.0,47.0,14.0,55.0,54.0,6.0
2006-07-26,10.0,5.0,24.0,17.0,43.0,31.0
2006-07-29,14.0,39.0,55.0,19.0,26.0,29.0
2006-08-02,24.0,19.0,10.0,16.0,13.0,15.0
2006-08-05,48.0,50.0,3.0,9.0,2.0,23.0
2006-08-09,52.0,19.0,43.0,41.0,16.0,35.0
2006-08-12,14.0,54.0,27.0,18.0,13.0,32.0
2006-08-16,22.0,2.0,13.0,50.0,48.0,2.0
2006-08-19,12.0,51.0,29.0,22.0,26.0,9.0
2006-08-23,17.0,8.0,51.0,24.0,38.0,31.0
2006-08-26,26.0,24.0,42.0,38.0,46.0,16.0
2006-08-30,35.0,3.0,19.0,43.0,33.0,1.0
2006-09-02,24.0,28.0,3.0,49.0,8.0,25.0
2006-09-06,27.0,35.0,21.0,55.0,2.0,1.0
2006-09-09,20.0,47.0,3.0,22.0,19.0,2.0
2006-09-13,15.0,47.0,19.0,45.0,26.0,3.0
2006-09-16,26.0,42.0,27.0,7.0,8.0,12.0
2006-09-20,54.0,8.0,7.0,29.0,17.0,26.0
2006-09-23,21.0,45.0,26.0,13.0,50.0,20.0
2006-09-27,49.0,23.0,33.0,35.0,28.0,16.0
2006-09-30,30.0,32.0,15.0,39.0,6.0,5.0
2006-10-04,39.0,27.0,7.0,3.0,40.0,8.0
2006-10-07,4.0,31.0,45.0,3.0,8.0,12.0
2006-10-11,38.0,10.0,35.0,5.0,12.0,9.0
2006-10-14,26.0,15.0,1.0,17.0,40.0,19.0
2006-10-18,41.0,2.0,24.0,34.0,48.0,24.0
2006-10-21,45.0,55.0,29.0,9.0,31.0,7.0
2006-10-25,16.0,40.0,43.0,48.0,42.0,1.0
2006-10-28,38.0,22.0,41.0,30.0,14.0,12.0
2006-11-01,46.0,54.0,13.0,7.0,8.0,35.0
2006-11-04,44.0,13.0,34.0,12.0,39.0,5.0
2006-11-08,12.0,53.0,8.0,11.0,26.0,4.0
2006-11-11,40.0,49.0,38.0,35.0,55.0,41.0
2006-11-15,11.0,28.0,43.0,30.0,34.0,29.0
2006-11-18,42.0,36.0,19.0,1.0,8.0,20.0
2006-11-22,22.0,49.0,32.0,36.0,55.0,8.0
2006-11-25,55.0,49.0,28.0,5.0,18.0,38.0
2006-11-29,2.0,9.0,12.0,8.0,19.0,25.0
2006-12-02,42.0,34.0,50.0,45.0,17.0,11.0
2006-12-06,38.0,36.0,35.0,7.0,34.0,14.0
2006-12-09,52.0,22.0,19.0,34.0,30.0,40.0
2006-12-13,33.0,32.0,19.0,54.0,42.0,15.0
2006-12-16,28.0,17.0,36.0,5.0,51.0,5.0
2006-12-20,6.0,26.0,14.0,1.0,34.0,34.0
2006-12-23,27.0,43.0,53.0,8.0,52.0,5.0
2006-12-27,14.0,29.0,16.0,27.0,41.0,29.0
2006-12-30,31.0,28.0,23.0,9.0,36.0,26.0
2007-01-03,12.0,55.0,24.0,35.0,10.0,31.0
2007-01-06,24.0,40.0,1.0,50.0,49.0,38.0
2007-01-10,45.0,54.0,42.0,53.0,36.0,36.0
2007-01-13,21.0,1.0,26.0,23.0,25.0,4.0
2007-01-17,52.0,35.0,16.0,49.0,50.0,31.0
2007-01-20,1.0,38.0,5.0,26.0,32.0,30.0
2007-01-24,53.0,29.0,9.0,42.0,19.0,17.0
2007-01-27,10.0,26.0,19.0,32.0,27.0,14.0
2007-01-31,48.0,42.0,2.0,25.0,15.0,14.0
2007-02-03,13.0,20.0,33.0,42.0,12.0,37.0
2007-02-07,22.0,4.0,28.0,37.0,52.0,10.0
2007-02-10,41.0,11.0,16.0,42.0,2.0,16.0
2007-02-14,3.0,30.0,26.0,54.0,55.0,15.0
2007-02-17,35.0,1.0,15.0,37.0,45.0,32.0
2007-02-21,8.0,2.0,29.0,22.0,37.0,3.0
2007-02-24,42.0,55.0,38.0,54.0,36.0,24.0
